TOURNAMENT,PLAYER,COMMENTARY 
DUBAI DUTY FREE TENNIS CHAMPIONSHIPS,Medvedev,"DUBAI: ""If I get fast courts like this, I can do great things, but there aren't many courts like this on the circuit,"" said Medvedev. ""I only remember Brisbane's court, and I played well there. I'm happy with how I played today, and my serve was also on point. When you don't have to hit the line to get an ace, it's quite appreciated. Overall, very pleased with how everything went and eagerly looking forward to playing the final."""
,Humbert,"DUBAI: ""I can’t complain because we don’t have many fast courts anymore,"" said Humbert. ""I think it’s nice to have these kinds of conditions. It’s fast, but I enjoy it, and it’s good to have more specialists."""
,Mensik,"""We are both great servers, so on a fast surface like this it will be a battle of the serves."
,Bublik,"DUBAI: ""On such a fast surface like here, outdoors, it works better,"" Bublik said of his serve."
,Wawrinka,"DUBAI: ""Yeah, it’s a bit different from the practice court,"" said Wawrinka, following his win over Hassan which finished around 18:15 in the evening. ""It’s a bit slower, a bit more humid. Today the conditions were slower with the ball, so it was tough at the beginning to really find my game. I was a little bit tight, but I served well. I stayed really focused, really positive, and I’m super happy with this match."""
,De Minaur,"DUBAI: ""It’s very different conditions coming from Doha here to Dubai,"" said De Minaur. ""It’s a lot warmer here, and the conditions are a lot quicker. It’s going to take a little bit getting used to these conditions."""
,Rublev,"DUBAI: ""I mean, here is completely different conditions in Dubai,"" Rublev said yesterday. ""I don’t know if it’s because of the balls or the courts or it’s because of the desert or air. Yeah, let’s say last week, Doha, and this week, completely different conditions. In my opinion, here is much tougher to play, much tougher to control the ball. I have no idea why because it’s only one hour or even less fly. The weather more or less the same. The balls were the same also I think there. But I don’t know, to be honest. It’s not easy to play here, it’s true. Like I said, when you play during the day, then at night, even completely different conditions."""
,Rublev,"DUBAI: “I think this surface fits well to Bublik,"" said Rublev. ""It is fast and it suits his fast shots and drop shots. I hope I can play well here also as you can see from my past results. I hope that I play well tomorrow.”"
,Medvedev,"DUBAI: “I’m feeling good here,” said Medvedev. “Its a pretty fast court.”"
,Mcdonald,"DUBAI: ""The surface is extremely fast, especially court 1. I don't like that, but that is what it is. Now Indian Wells, I love playing there, I had pretty good results and I'm moving on,"" said Krajinovic after losing to McDonald."
,Djokovic,"DUBAI: ""I think that this court is playing very quick, actually the quickest I ever experienced the surface here in Dubai,"" said Djokovic.- ""It was always fast, but a lot of players that I talked to have been saying the same thing — it's very, very fast."""
,Goffin,"after losing to Nishikori: ""I know now why I didn't come to Dubai in the past because it's very tough, it's so fast, fast to control, it's not easy for my game, especially when you play Kei."""
,Shapovalov,"DUBAI: ""I like the quick courts, they favour my game,"" said Shapovalov."
,Thiem,"DUBAI: ""From Doha to Dubai! Since Saturday I have been preparing for my second tournament in the sheikhdom in the desert, the conditions are definitely slightly different: It is hotter in Dubai, the courts are faster as well,"" said Thiem."
,Rublev,"on Dubai: ""It’s always tough conditions to play here as the balls fly and it doesn’t suit my game style. It will be a great challenge for me, as I will need to find other ways to play matches."""
,Nishikori,"DUBAI: ""It's a fast court and the bounce is high, so I had to step in a little more on return,"" Nishikori said after beating Opelka."
,Tsitsipas,"DUBAI: ""The conditions here are much different from Marseille ... the ball bounces different, the surface is slower,"" said Tsitsipas."
,Herbert,"DUBAI: “It's always special. The conditions are different, there is no roof above, a much faster court, it was hot today, the balls were flying a little more than usual,"" said Pierre-Hugues Herbert."
,Monfils,"DUBAI: ""The conditions are definitely a bit different because we are now back on the outdoor courts,"" said Monfils. ""It’s a bit faster and the ball flying a bit more. I just have to make some adjustments."""
,,
BCI SEGUROS CHILE OPEN,Pellegrino,"on the playing conditions in Santiago: “Yes, I’ve always liked playing at altitude because it suits my game very well. Here in Santiago in 2023, we also won the doubles title playing very well with Vavassori. Since I arrived this year, I’ve felt good, and I’m happy to be in the quarterfinals.”"
,Tabilo,"conditions are very different. I have to approach the game differently; he serves very well, and here at altitude, the ball will move much faster for him. I have to go in determined and play my game.”"
,Prizimic,"SANTIAGO: ""The court is quite shiny, and I needed some time to adapt,"" said Prizmic. On day vs night conditions: “I think that’s normal in tennis. Every tournament is like this, you always have to adapt. It is what it is.”"
,Berrettini,"“One of the motivations for coming was to play at altitude. It’s a condition I adapt to well. I played good matches in Buenos Aires and here in Rio de Janeiro, and I hope to repeat that level.”"
,Monteiro,"SANTIAGO: ""The conditions here are different from Rio, much faster, the ball moves more,"" said Monteiro."
,Martinez,"SANTIAGO: ""It’s never easy to win here because of the altitude,"" said P. Martinez Portero."
,JM Cerundolo,"SANTIAGO: ""The court is fast here, it is fast and hard to return here,"" said JM Cerundolo."
,Hanfmann,"after beating Coria in Santiago last year: ""I love [the altitude]. It suits my game — maybe not at night — but even still it suits my game."" Hanfmann was then beaten by eventual tournament winner P. Martinez Portero, who he plays in R1 again this year."
,Monteiro,"SANTIAGO: ""I came from Rio, where it is also very hot,"" said Monteiro. ""But here it is also quite complicated with the altitude because the ball runs faster. Anyway, I was able to adapt well."""
,,
BNP PARIBAS OPEN,Alcaraz,"""The ball bounced really high, and after my serve, he was immediately in a good position to return it well almost every time. He always seemed to find the right opening for the passing shot or the shot that forced me to volley from an awkward position. Like I said, it was all very complicated, and he found a solution after every shot I made. I realized I had to change something. I'd already tried a few variations in the first set, but he kept finding the right answer to every attempt. I tried to play with more margin above the net, with more height and bounce, waiting for my opportunities. I tried to be aggressive on the return and then, in the first two or three shots of the rally, to keep the ball high and deep, to then find the right space to attack. I got to the net a few more times, with a certain effectiveness, not always but in most cases. I had my chances, but I didn't take them. I'd say the difference was that he saved four break points and I didn't save any. That was a big difference."""
,Alcaraz,"INDIAN WELLS: ""Today the ball was tough to control as it came super fast and bounced super high,"" Alcaraz said after beating Ruud. ""I just feel really comfortable here. I think this year the court is a little bit faster. But for me it doesn't matter about what kind of hard court it is, it's just more about how comfortable and how good I feel off the court. That's why I'm just playing such great tennis here, because off the court I'm with my team, I'm with my close people in a house, really good chilling there. I'm feeling like home, that's why I'm just pulling off a great tennis in the tournament."""
,Medvedev,on playing in Indian Wells: “I honestly prefer to play at night at here but today it wasn’t possible. Regardless of day or night I just try to win. In general I feel like I got the rhythm on these courts. Previous years I didn’t like it but this year it’s much faster so I think it’s great for me. You can win points with the serve and serve plus one which in previous years was basically impossible. I like it this year. Previous years doesn’t matter but I was playing good as well so I’m looking forward to this year.”
,Norrie,"on the Indian Wells conditions suiting his game: “The ball just feels so nice for me here. I don’t know what it is — it just keeps finding the court. I’m moving well, and it’s tough to get the ball past anyone on this surface. When it’s hot, the ball jumps, and my backhand stays really low, so it’s all good stuff for me.”"
,Draper,"INDIAN WELLS: ""It's nice out here to stand back and rip the return because the ball bounces quite high,"" said Draper."
,Fritz,"“I could talk for a long time about this but with new balls it’s faster. The new Dunlop balls are faster but they also wear out quicker than others. When we’re playing in a ball change after a tiebreak, by the way it’s the worst rule in tennis. It’s dumb how the tiebreak counts as one game towards the ball change and that has to change. When we begin the third set after a tiebreak, the balls are ridiculous. I’m hitting a serve on the line and the return comes back, I’m hitting as hard as I can open court and it doesn’t even win the point. It’s a big difference. It’s fast when it’s new and it’s slow when it’s old. As always in Indian Wells it’s a big difference between the day and night.”"
,Tiafoe,"INDIAN WELLS: “It’s interesting,"" said Tiafoe. ""It’s kind of fast right now. The last few years it’s been slow and gritty, but this year it feels quicker. At night it plays really good. We were kind of in between day and night conditions. The air feels a little warmer, the ball’s moving. I like it. I like what’s happening with the weather and the court speed.”"
,Zverev,"INDIAN WELLS: “It’s a bit quicker than the last few years, which I prefer,"" said Zverev. ""I’ve been pretty vocal about liking quicker courts. It’s still a slow surface, but definitely faster than before. It was windy, but better than the last couple of days. I actually feel sorry for the guys who played yesterday — I don’t know how they did it. I couldn’t even practice in that wind. Today the wind died down a bit for me, so overall I felt good.”"
,Berrettini,"INDIAN WELLS: ""It’s always tricky here,"" said Berrettini. ""It’s dry, so the ball flies, but the courts are rough. This year with the ball change I feel like I have more control. During the match the conditions changed a lot — at the beginning it was sunny and the ball was moving more, then after the sun went down I had more control. That’s what we do — we adapt — and I did it pretty well today."""
,Bellucci,"INDIAN WELLS: “The hardest thing was the bounce,"" said M. Bellucci. ""The ball jumps really high. If I stand close on the return it jumps over my shoulder, especially on second serves. If I stand far back, it’s not natural for me. I had to find a balance.”"
,Medvedev,"“I know I can play on any surface, and I have proved that at Indian Wells, where the hard courts are relatively slow. I have played great at this Masters over the last three years.” On the ball change at the tournament: “They have changed the balls there now, so we will see. Maybe it will suit me.”"
,Svrcina,"INDIAN WELLS: ""The courts are quite slow here, so that might suit me. The balls are also quite fast here, so the conditions are a bit slower. On the other hand, the air is a bit thinner here, almost like it's higher altitude, so the balls fly quite a bit here. The conditions are quite specific here,"" said Svrcina."
,Fritz,"The next tournament is Indian Wells, and honestly it’s going to be very interesting. This year they change the ball and we’ll play with Dunlop, which is the most widely used on tour. The thing is, Dunlop in general is slow, and when it wears out it becomes even slower. Lately it’s been wearing out very quickly. I truly believe the quality of the balls has dropped significantly.” On ball quality and wear: “On fast courts, Dunlop works very well, but on slow courts it’s terrible. This didn’t happen as much before. Seven or nine games between ball changes is too much. The other day at 3-3 in the first set I looked at the ball and thought, how are we playing professional tennis with this? It’s ridiculous.” On how it affects his game: “In places like Delray, you play two games and the balls already look like balloons. You can’t hit a winner even if you hit it as hard as you can. They become huge. This didn’t happen before.” On comparisons with other balls: “With Dunlop, people make fewer unforced errors than with others like the Wilson US Open ball. With Wilson, people miss more. That’s closer to how Indian Wells used to feel. Now points will be longer and the game will be slower.”"
,Alcaraz,"INDIAN WELLS: ""The court feels the same—very slow with a high bounce,"" said Alcaraz. ""It plays differently at night versus during the day, but when I trained in the heat this morning, the ball was bouncing a lot. I haven’t noticed any difference. They said they changed it, but if nobody had told me, I wouldn't have noticed."""
,Berrettini,"INDIAN WELLS: ""On Center Court, the ball flies, it bounces really high—I don't think I even played a shot at hip height,"" said Berrettini. ""I was a bit taken aback by the conditions and I also put a little less energy on the court than usual. I tried to fight somehow and stay in the match, but honestly, he played much better than me and deserved the win. I grew up playing on clay, so I’m used to it, but this is unusual for a hard court. It takes time to adjust because the ball-eye coordination has to be recalibrated. It really feels like a hard-court version of clay."""
,Medvedev,"INDIAN WELLS: ""I don't notice any difference, but if I had to say something, I would say it's even slower than before,"" said Medvedev. ""It's hard to say this because we know it's already the slowest on the circuit, but every year we return, we forget how slow it was last time. It's slow beyond what the speed index or any parameter says. It's slow no matter what people say; you can see in the matches how players strive to make a winning shot. It's very slow, but I feel I can play well here."""
,Rune,"INDIAN WELLS: ""The courts are lively, faster than last year,"" said Rune."
,Tsitsipas,"INDIAN WELLS: ""For me, this bounce is normal because I am very used to playing on clay,"" said Tsitsipas: ""However, I have to say that the bounce is not normal for a hard court. In Dubai, it didn't bounce as much, so I had to reconfigure some aspects of my game and adapt. This court is a hard version of clay, indeed."""
,Shelton,"INDIAN WELLS: “I think my serves get good bounces,"" said Shelton. ""I get liveliness out of the ball even when it is a little bit colder at night. The conditions are different every week so you have to be able to adapt and adjust. All the greats are able to do that. I think you just have to keep an open mind and put in the work on the practice court to get more acclimated. I got here early and put in a lot of work over the last 7 days so I’m happy to see it pay off today.”"
,Djokovic,"INDIAN WELLS: ""Honestly, the difference between the center court and the others is immense,"" said Djokovic. ""The ball bounces much higher on the central court than on clay courts. I struggled a lot with that, couldn't find my rhythm."""
,Shapovalov,on the Indian Wells conditions in 2019: “I’m really enjoying the conditions here. I played in the shade today but I don’t mind playing in the heat. It’s not that effective because it’s pretty dry out here. I feel like the ball is really traveling through the court but at the same time the court is pretty slow. It’s a good kind of combo for me – I have time to have my big wind-ups for my shots but at the same time I feel like I can play very aggressive.”
,Tsitsipas,"INDIAN WELLS: ""One thing that I felt was completely different here was the balls,"" said Tsitsipas. ""In Dubai, the balls are much heavier. The balls here are a little bit softer and have a lot more air movement than the ones in Dubai. Also, the surface here is rougher on the top layer. It makes the balls bounce a little bit more and not slide around the court as much. I just feel like playing an aggressive topspin game can help here. I'm trying to do that on the court."""
,Goffin,"on the conditions in Indian Wells: ""In general, I never liked the conditions of Indian Wells. Balls, changes... I always had a hard time adapting to these conditions, and yesterday it was the same. Goffin was better at adapting."""
,Zverev,"INDIAN WELLS: ""Is there a new surface? It seems the same to me, honestly,"" said A. Zverev. ""I trained here for four days, I didn’t notice anything. I didn’t know anything about it."""
,Norrie,"INDIAN WELLS: ""I think the conditions help me during the day, the ball is bouncing, it is tough to finish points,"" said Norrie. ""It felt slow tonight. It allowed me to stay relaxed and rip the ball. I think the good vibe here. The facilities are so nice. The weather is amazing."""
,Alcaraz,"on the change in court surface at Indian Wells: ""I have heard that they have changed, and I honestly don’t understand. Why did they change the court manufacturer after 25 years? Why now? They will find out. In any case, I can adapt and play good tennis in all types of conditions—I have proven that in the past."" On handling pressure as defending champion: ""I’m ready to deal with that pressure, but I don’t want to think about it too much. I want to enjoy my time here. Everything here is very relaxed, and I’m generally very happy here. And when I’m happy, I play better. Tennis is my passion, it’s my love. I’m living my dream, so I have to keep enjoying myself."""
,Murray,"INDIAN WELLS: ""The conditions are a little different this year,"" said Murray. ""The balls are definitely quicker and maybe the courts too."" José Morgado on X.com: ""Courts looking wayyyy faster this year in Indian Wells."""
,alcaraz,"on Indian Wells. “I really like these conditions. It's slower than other hard court but I feel really comfortable playing here, staying here. I felt the love since I came onto the court. I have great memories, I made my first semi-finals at a Masters 1000 here, had that match against Rafa... It's so special to come back here.”"
,Medvedev,"INDIAN WELLS: ""That's probably the slowest hard court on the Tour,"" said Medvedev."
,Rublev,"on the conditions in Indian Wells: ""At night it’s super, super slow, it’s a huge difference if you practise in the afternoon."""
,Nadal,"on Indian Wells: ""The dry desert conditions here suit me well. In Acapulco, Miami or Australia, I sweat a lot, but here I have always felt very comfortable."""
,,
MIAMI OPEN PRESENTED BY ITAÚ,Fritz,"MIAMI: ""It's quick,"" said Fritz. ""I think a lot of the courts play differently. I felt like center today played a bit slower than Grand Stand. I feel like Grand Stand is probably the fastest court here. Both of those two courts bounce lower than the practice courts bounce. You're never going to be able to get the center court the same speed as all the others when you're laying it over a turf field and then all the others are laid over like black top in a parking lot."""
,Sinner,"MIAMI: ""It's a court which is quite fast at times, sometimes not depending on how warm it is, but the ball is not bouncing as much,"" said Sinner. ""For me that's something what I really like."""
,Medvedev,"""The conditions are completely different here compared to Indian Wells. Usually it feels a bit quicker in Miami, but this year it actually felt slower"
,Sinner,"MIAMI: ""The playing context here feels very different from Indian Wells,"" said Sinner. ""The ball bounces much lower and slightly quicker. I've been surprised during practice as I've observed the conditions to be faster than expected, but I think it's due to the heat while being on the court. Each year is different; I just hope to play great tennis these weeks."""
,De Minaur,"Here in Miami, we know it's very humid, extremely hot during daytime matches, and playing at night means the ball moves slower or there's wind. Obviously, this affects certain shots of the player, with the return being one of the most crucial. I've been struggling with this over the years, so I have to find that balance between being aggressive and solid in my returns; this mix will boost my confidence. I know the issue isn't my return but rather that I need to improve that process to find the right formula."""
,Shelton,"""When I started on the circuit, I didn't like fast courts, I felt like I didn't have time to play my game. But over time, I'm feeling more comfortable with the low bounce and speed of the court. I hope to have a good tournament here because I believe the conditions suit my game well."""
,Fritz,"on the Miami conditions last year: ""I played really well here last year. It's the kind of tennis I like playing. A lot of that has to do with the court speed as well. It was pretty fast so you get rewarded when you took risks and hit good shots. It was a good serving court and when I wanted to take my chances and pull the trigger, I'd get rewarded."" On the semifinal loss: ""I was unlucky to lose the match in the semis. It was one of those that could've gone either way."""
,Mensik,"although I acknowledge that the Center Court is very different from the other courts, but I still found the formula to be effective."
,Fritz,"The only thing I find annoying about playing on center court is how different it is from the other courts,"" said Fritz. ""It will never be the same as the other courts because they are placed on a football field. It won't be able to replicate the same as the outdoor courts that are laid on asphalt or concrete. It's set on a field. It will always be a bit different. I would also say that around the time I'm playing or a little before, the shadow that crosses the middle of the court is also extremely bothersome."""
,Monfils,"Here in Miami, everything moves faster—the city, the courts, even the humidity. You need to adapt quickly, or you’ll struggle from the start."""
,Tommy,"on Miami: ""I'm really enjoying the quicker courts this week. It's quite a change-up from Indian Wells. I think most of the American players are enjoying that you get a lot more reward for your shots here. My game style has changed—I've changed in terms of how I try to attack and come to the net. Maybe in the past, I was a little too defensive and too neutral. Along with serving and returning better—those are the two most important shots in tennis. I'm trying to get the net more as well a take the ball down the line more."""
,Medvedev,"on the match balls in Miami: ""Who allows this? You can't play tennis with them. Who said, 'Yes, we can play with these balls'? Nobody, right? They're not good enough."""
,Monfils,"MIAMI: ""I was hitting hard but they came back almost as quickly,"" Monfils said after losing to Alcaraz. ""With these slower conditions at night, it's a little more complicated to get the ball past him as he covers the court so well. There were a lot of balls where I wanted to go into the court, but I couldn't."""
,Medvedev,"MIAMI: ""It's a bit strange,"" Medvedev said after beating Norrie. ""The court is pretty fast but the balls get old very fast. So at one moment in the rally, you feel like there isn't much you can do, so you can't go for the winner because the risk-reward isn't there. It's the same for the opponent, so we just hit, hit."""
,Medvedev,"MIAMI: “It's not easy to play at night, it felt slower and the serve wasn't counting so much, so there were a few breaks,” Medvedev said after beating Norrie."
,Cazaux,"MIAMI: ""Conditions are good, quite slow,"" said Van Assche. ""Which is surprising because the practice courts are quite fast. The day Arthur Cazaux felt unwell, it was particularly hot. But today (Wednesday), the weather was good."""
,Medvedev,"on Miami: “The courts are actually fast so I don’t think I’m gonna cry."""
,Sinner,"MIAMI: “In my opinion they are even faster than last year. The tournament courts maybe even more, except for the Central. I don't know about the Grandstand, but where I played today [on Butch Buchholz] it was quite fast. They are definitely different [than Indian Wells] and I haven't had a lot of time to adjust, two or three days, and the first match is always important,"" said Sinner."
,Sonego,I like to play in Miami because the conditions are really fast
,Ruud,"on the conditions in Miami: ""I haven't found any differences. The first day I arrived here I trained on center court with Medvedev and it was a good match. Since then I have not been able to play in the central until today. I haven't noticed any difference to be honest. The stadium is obviously bigger so you don't feel the wind more than on the outside courts, but maybe that's the only difference."""
,Fritz,"MIAMI: ""I think the conditions here are good for him (T. Paul). He's probably one of the best movers on tour. These are very slow courts, [it is] very tough to put the ball away here,"" said Fritz."
,Isner,"on the conditions in Miami: ""The ball bounces up really high and kicks all over the place. It is good serving conditions. I showed that out there today. Felix served well too. I love the surface. It is what I grew up on. I have great feelings here, I’ve had a lot of wins at this tournament over the years."""
,Khachanov,"MIAMI M: ""The courts are more slow here compared to last week in Dubai, so you have to adjust,"" said Karatsev."
,Nishikori,"MIAMI: ""Here is very slow, the court surface and the balls are heavy so it is tough to hit a winner,"" said Nishikori. ""It is very windy, humid and very hot."""
,,
TIRIAC OPEN,Navone,"BUCHAREST: ""The conditions change a lot, today it was faster but sometimes, like yesterday, it's cold and slower, but you just have to adapt every day,"" said Navone. ""You can’t control the weather, so it’s about adjusting as best as possible. It’s not easy, but I’m used to these kinds of conditions. In the end, the player who adapts better is the one who wins."""
,,"BUCHAREST: ""It’s a slow clay court with a lot of moisture on the surface, making it hard to hit through,"" noted the TennisTV commentator."
,Wawrinka,BUCHAREST: Wawrinka wasn't happy early in the match with the court in Bucharest. Complained in French at the first changeover to the umpire about one player already being hurt and the court not being suitable. He also had the supervisor out at the 2nd changeover to voice his displeasure.
,,
FAYEZ SAROFIM & CO. U.S. MEN’S CLAY COURT CHAMPIONSHIP,Shelton,"HOUSTON: ""It was super windy, the court was slick and moving fast and that's how it is a lot of the time in Houston,"" said Shelton. ""It's actually easier to serve and volley on for me than any other tournament on the calendar."""
2026,Nakashima,"HOUSTON: ""The clay here, first of all, it bounces up a little bit higher,"" said Nakashima. ""When it's pretty sunny, the conditions get pretty fast, so it kind of favors the big servers. In the beginning, it's a little bit tough to get the footing, it could be a little bit slippery at times, but it's just a matter of getting used to it."""
2026,Mcdonald,"after his win over McDonald: “I’m feeling great and super happy. I think I’m playing at a great level and can beat anyone at this level. I’m playing really good and my team and I are really improving this year. I feel so comfortable here in Houston. Good conditions today, it was a bit more humid but I adjusted to the wind. I was very solid in my game to beat Mackie. I’m going to be watching the next match because I really want to do well this week and hopefully I can find this level again. I’m very happy my first time here in Houston.”"
2026,Etcheverry,It was difficult conditions and very windy. The ball moved everywhere on my ball toss on serve
2025,Tiafoe,It was tough conditions with the winds
2024,Darderi,"on the conditions in Houston: “it is my first time here in Houston. The conditions, I really like it. It is really fast during the day. I feel really good.”"
2024,Mmoh,"on conditions in Houston: ""The courts specifically plays a little bit faster than most clay courts, which suits my game. I have a pretty big serve and like fast conditions. This is probably the fastest clay court in the world which suits me."""
2024,Darderi,on Houston: “Yeah I think the clay is different to South America but at the moment I like it!”
,,
GRAND PRIX HASSAN II,Darderi,"MARRAKECH: ""I really like the conditions here,"" said Darderi. ""[When] it’s hot and the ball moves fast, it suits my game well and helps me play with confidence."""
2026,Buse,"MARRAKECH: ""The conditions are quite fast, especially coming from the U.S. swing, but I’m really happy to be back on clay,"" said Buse."
2025,Bellucci,“I am feeling good in Marrakech. He likes high bouncing conditions and coming to the net.
2024,Navone,"MARRAKECH: “The court in the first set was really fast, but then I managed to adapt my game,” Navone said after beating Wawrinka."
ROLEX MONTE-CARLO MASTERS,,
2026,Berrettini,"MONTE CARLO: ""The surface is good, the ball bounces and I like it,"" said Berrettini. ""It's not extra slow, but it depends a lot on the weather: today it was cool and overcast and the ball was picking up more clay, while in recent days with the sun it was travelling a lot more."""
2025,Medvedev,"MONTE CARLO: ""It’s funny, really. After Indian Wells and Miami, which are quite slow — even though Miami is a little faster — I went back to play on clay… and I swear, I don’t see any difference, except that you slide and the ball bounces higher,"" said Medvedev. ""There are sometimes bad bounces, the movements are different, but in terms of speed… I would almost say that clay is faster than hard. They’re certainly not much slower."""
2025,Medvedev,"MONTE CARLO: ""I think Karen hit just the one ace, and he’s a big server, so it’s pretty slow,"" said Medvedev. ""There were a lot of breaks."""
2024,Hurkacz,"MONTE CARLO: ""The conditions are always a bit different,"" said Hurkacz. ""Even though it’s clay. Here it’s actually a bit less slippery than Estoril. The balls are flying differently. It’s not easy. You come a day before the match, you won the tournament but you’re a little bit behind here."""
2024,De Minaur,"MONTE CARLO: “I was trying to find a little bit of purchase off the court, which was a struggle today,” said De Minaur. “It was really tough to get a lot out of the court in these slow conditions.”"
2022,Zverev,"MONTE CARLO: ""...especially on a clay court, especially here where it's a little bit slower I think than other clay courts that we play on,"" said A. Zverev."
2022,Fritz,"MONTE CARLO: ""The courts are different to Houston last week, where they are much quicker,"" said Fritz. ""Its almost a completely different surface. It was more like a hard court last week."""
2021,Evans,"MONTE CARLO: ""Obviously clay is not my favorite surface. But I think the conditions have actually suited me this week. It's not been very warm. The ball stayed low. I'm moving way better on the clay. That's definitely helped,"" said Evans."
,,
BARCELONA OPEN BANC SABADELL,Fils,"The conditions were difficult—very windy—and I struggled a lot more with them than he did. The ball was moving in the air and I just wasn’t comfortable. I made too many mistakes, gave away too many free points. When you do that, it’s hard to win. He played a good match and managed to maintain a high level despite the wind. I couldn’t get anything going."""
2025,Alcaraz,"on the conditions: “The first thing we have to be grateful for is the sun. The sun was out, it wasn’t raining. There was [however] a lot of wind today, so I had to survive. It wasn’t about playing fantastic tennis, brilliant shots… It was about making the shots you have to do, no more than that."
2025,Rune,"on the court conditions in Barcelona: ""No, I think the court is good. I said it yesterday or today: I think it's a good court. I've played on much worse courts than this one, so I'm not complaining. Of course, it's not Roland Garros – which is the perfect court – but I think it's almost impossible to reproduce a court like this. This is a very good court. And then I'm in the final, so I'm happy!"" On playing in different weather conditions: ""To be honest, I don't really care. Yesterday it was warmer and the ball bounced more, today it was colder, but it was fine anyway. If I really have to choose, I prefer when it's sunny: it's more pleasant, warmer, more comfortable to play. And if there's no wind, even better. But of course it's not always like that, so we have to adapt. It's part of a tennis player's job."""
2024,Ruud,"The clay is a bit different here in Barcelona. It’s a really good clay court. Nothing to complain about. But it’s a bit more lively, a bit drier, bouncy.. when it comes to clay they aren’t that many differences but you can feel it here and there. Luckily we’re playing with the same ball we had in Monte Carlo."
2023,Sinner,"Here the central court is especially slower; it is quite heavy. But every tournament is different. I like playing here, it's always nice."""
BMW OPEN BY BITPANDA,,"Wednesday, April 19, 2023"
2026,Fonseca,"on choosing Munich over Barcelona: ""What made me decide to come here is the altitude since I will be playing in Madrid, and the conditions regarding altitude in Munich are similar to what I will have next week. It's a great tournament, and I talked to Patrick, the tournament director, and he is a very nice guy. Organized and it has been a good experience."""
2026,Cobolli,"On conditions: ""With the sun and the altitude, it helps my game. I like to play in these conditions."""
2026,Zverev,"MUNICH: ""The temperatures don’t really help an aggressive style of tennis,"" said Zverev. ""It’s tough to hit winners when it's like this. We are at altitude, so it helps the servers, but with these temperatures it kind of evens out."""
2026,Fonseca,"On conditions: ""It was very cold, so it was difficult. I needed a good warm-up just to stay in the match."" On adapting: ""Every week is different, different surface, altitude, weather, so you have to adapt quickly."" On the next match: ""It’s going to be difficult again. He serves well, especially here, but I’m confident and ready."""
2026,Shelton,"MUNICH: ""It’s a bit colder, but with the altitude the ball is still flying, so it still makes big servers really tough to play against,"" said Shelton. ""It’s a special place for me and I’m excited to keep the run going."""
2026,Shelton,"MUNICH: ""Here you play at altitude, so it requires different skills,"" said Shelton. ""It’s similar to Madrid, where the ball bounces high and moves fast, so I’m trying to build my clay game step by step."""
2025,Shelton,"""It was tough conditions, going from cold weather to really warm today. Compared to yesterday, it went from no bounce to a lot of bounce."""
2025,Marozsan,"after beating Bergs in Munich: ""It means a lot to reach the semifinal. It’s a big moment for me. This match was very tough. Last time we played in Monte Carlo, it was much faster. Here, because it was very cold, the balls were very slow and there were a lot of long rallies. He played better than last time, so it wasn’t easy to beat him."""
2025,Shelton,"MUNICH: “When you get hot weather over here in Europe, the clay plays really fast,” said Shelton. ""But if it’s cold and heavy, you can swing for the fences and it only goes five feet. The weather is so much more of a factor — it affects how the ball flies through the air and comes off the ground."""
2025,F Cerundolo,"On the Munich conditions: ""The ball bounces a lot. It’s a little bit fast, not too much. The weather is fantastic. I thought it was going to be colder,"
2025,Struff,"MUNICH: “Normally German clay is a bit tricky because it’s very heavy,” said Struff. “But here it’s flying through the air more because of the altitude, and I would say clay is my favourite surface. I can play on all surfaces, but if you gave me one surface to play on, it would be clay — fast clay.”"
2025,Hanfmann,"The conditions, with the altitude, and the ball bouncing quite a bit"
2025,Shapovalov,"ahead of Munich: ""I'm feeling good. It's my first time here, but it's going well on the practice courts, and the little bit of altitude helps me and suits my game on the clay surface."""
2025,Zverev,"on the Munich conditions: ""I definitely enjoy the altitude and playing in these types of conditions."""
2025,Shelton,"on the Munich conditions: ""Normally, it helps me a lot with my serve when it’s going fast through the air, but I struggled for a set and a half while he was serving really well. As the match went on, I felt more and more comfortable."""
2024,Fritz,"after beating Garin: “The conditions were much better today. Especially in the second set, when the sun came out, when I went after the ball I felt like it went a little faster.”"
2024,Zverev,"There was nothing I could really do. My power was taken away [by the heavy conditions]. I was slipping with every step I took. Every single thing that I normally use to win was taken away from me,. My serve, which I normally use to score a lot of points, is being taken away from me. My backhand, which causes problems for a lot of opponents, is being taken away from me - due to the cold and the surface. I can't win the tournament [when it is like this]. That's a fact."""
2024,Thiem,"“I like playing at altitude. I arrived here pretty early on Friday and had some good practice sessions over the last couple of days,” said Thiem."
2023,Rune,"""It was a tough match. It was obviously very cold. I'm happy with the way I played. It's always difficut to play the first match, coming from different conditions"
2022,Rune,"after beating Lehecka: ""I didn't mind the cool conditions today. Similar to Denmark."""
,,
 MUTUA MADRID OPEN ,Blockx,"MADRID: ""It’s a perfect combination — slow clay gives me time, but the altitude makes it faster, which suits my game,"" said Blockx."
2026,F Cerundolo,"MADRID: ""The inside courts are a little bit slower,"" said F. Cerundolo. ""They have more of a roof, they're in shade almost the whole day. Outside they're always with sun. It's totally different. The outside ones are faster, slippery and smaller. More like faster points, more free points outside than inside. Inside you have to play more rallies."""
