Pool,Rank,Player,Primary Archetype,Data Coverage,Badges,BigServer score,BigServerBaseliner score,AttackingBaseliner score,SolidBaseliner score,CounterPuncher score,SolidDefender score,AllCourt score,Pressure,MCP Charted,Chall Matches,Win %,Clay WR%,Hard WR%,Grass WR%
Challenger,,Federico Agustin Gomez,All-Court Player,challenger,,67,67,58,60,54,48,52,,,108,63,67,48,
Challenger,,Blaz Kavcic,Counter Puncher,challenger,,20,30,55,65,97,75,31,,,89,62.9,65,62,
Challenger,,Federico Delbonis,Counter Puncher,challenger,,21,33,69,72,87,76,36,,,86,62.8,65,43,
Challenger,,Steve Darcis,Solid Baseliner / Attacking Baseliner,challenger,,36,27,77,87,20,44,24,,,32,62.5,33,74,
Challenger,,Aleksandre Bakshi,Attacking Baseliner / Solid Baseliner,challenger,,35,36,74,69,22,44,28,,,24,62.5,,63,
Challenger,,Denis Kudla,Solid Baseliner / Big Server,challenger,,78,27,78,80,22,40,29,,,191,62.3,46,64,67
Challenger,,Jack Sock,Big Server,challenger,,85,38,66,72,7,25,21,,,69,62.3,67,58,78
Challenger,,Tristan Boyer,Solid Baseliner / Attacking Baseliner,challenger,,21,31,71,77,70,68,35,,,111,62.2,64,60,
Challenger,,Bradley Klahn,Big Server,challenger,,92,29,78,78,7,14,16,,,74,62.2,44,66,0
Challenger,,Micah Braswell,Solid Baseliner / Attacking Baseliner,challenger,,34,34,65,75,19,47,26,,,29,62.1,,62,
Challenger,,Gregoire Barrere,Solid Baseliner / Attacking Baseliner,challenger,,37,26,76,83,22,45,25,,,215,61.9,47,66,57
Challenger,,James Trotter,Big Server / Solid Baseliner,challenger,,91,29,75,82,9,16,17,,,107,61.7,20,64,
Challenger,,Zsombor Piros,Counter Puncher / Solid Defender,challenger,,15,24,59,58,74,68,28,,,242,61.6,63,58,75
Challenger,,Aslan Karatsev,Counter Puncher,challenger,,24,72,66,67,88,66,44,,,117,61.5,67,57,
Challenger,,Frank Dancevic,All-Court Player,challenger,,61,83,83,82,72,54,61,,,26,61.5,60,64,
Challenger,,Pablo Llamas Ruiz,Counter Puncher / Solid Defender,challenger,,12,23,59,70,85,83,27,,,83,61.4,62,59,
Challenger,,Max Purcell,Solid Baseliner / Big Server,challenger,,78,27,70,79,20,42,29,,,206,61.2,52,62,60
Challenger,,Murphy Cassone,Big Server / Solid Baseliner,challenger,,82,38,68,73,17,34,28,,,49,61.2,,61,
Challenger,,Jack Pinnington Jones,Counter Puncher,challenger,,22,21,52,50,91,56,25,,,36,61.1,0,60,80
Challenger,,Pedro Sousa,Clay Specialist / Counter Puncher,challenger,,11,23,54,69,96,90,25,,,176,60.8,62,33,
Challenger,,Nicolas Moreno De Alboran,Solid Baseliner / Attacking Baseliner,challenger,,38,38,79,81,22,44,28,,,167,60.5,58,63,
Challenger,,Christoph Negritu,All-Court Player,challenger,,58,75,65,81,72,64,62,,,43,60.5,63,58,
Challenger,,Kyle Edmund,Attacking Baseliner / Solid Baseliner,challenger,,61,59,86,79,68,47,54,,,53,60.4,40,67,50
Challenger,,Daniel Brands,Big Server,challenger,,96,28,65,78,4,12,13,,,48,60.4,0,62,71
Challenger,,Joris De Loore,Big Server / Solid Baseliner,challenger,,93,29,78,88,10,25,21,,,174,60.3,53,65,57
Challenger,,Mate Valkusz,Counter Puncher / Solid Defender,challenger,,10,22,52,62,97,87,23,,,118,60.2,66,45,
Challenger,,August Holmgren,Big Server / Attacking Baseliner,challenger,,86,28,78,77,8,20,18,,,90,60,46,62,
Challenger,,Carlos Gimeno Valero,Counter Puncher,challenger,,5,16,38,43,100,78,14,,,70,60,59,67,
Challenger,,Dudi Sela,Counter Puncher,challenger,,14,27,74,71,94,80,31,,,65,60,,60,
Challenger,,Guido Andreozzi,Counter Puncher,challenger,,15,26,62,62,85,72,29,,,185,59.5,59,62,
Challenger,,Maxime Cressy,Big Server,challenger,,96,29,75,76,2,5,10,,,157,59.2,38,63,33
Challenger,,Attila Balazs,Counter Puncher,challenger,,17,28,66,58,83,68,30,,,76,59.2,60,55,
Challenger,,Albert Ramos,Solid Defender / Counter Puncher,challenger,,12,23,57,74,82,84,27,,,93,59.1,59,50,
Challenger,,Mark Lajal,Big Server / Solid Baseliner,challenger,,79,54,71,75,55,39,48,,,125,58.4,0,60,50
Challenger,,Gianluca Mager,Big Server / Big Server + Baseliner,challenger,,75,74,62,72,23,49,41,,,261,58.2,61,46,0
Challenger,,Bjorn Fratangelo,Solid Baseliner / Big Server,challenger,,78,38,74,84,19,43,32,,,124,58.1,53,60,33
Challenger,,Dennis Novak,Solid Baseliner / Attacking Baseliner,challenger,,29,31,65,74,58,57,36,,,235,57.9,56,60,70
Challenger,,Frederik Nielsen,Counter Puncher / Attacking Baseliner,challenger,,19,29,64,62,70,60,31,,,38,57.9,,56,75
Challenger,,Jan Satral,Counter Puncher / Solid Defender,challenger,,21,30,54,63,77,68,32,,,71,57.7,59,43,
Challenger,,Seong Chan Hong,All-Court Player,challenger,,21,58,63,65,65,60,40,,,132,57.6,56,59,0
Challenger,,Noah Rubin,All-Court Player,challenger,,25,28,62,63,63,59,33,,,99,57.6,55,57,80
Challenger,,Stefan Dostanic,Big Server / Big Server + Baseliner,challenger,,81,78,66,74,23,43,40,,,33,57.6,,58,
Challenger,,Liam Broady,Solid Baseliner / Attacking Baseliner,challenger,,29,32,71,76,56,54,35,,,237,57.4,52,60,31
Challenger,,Abedallah Shelbayh,Counter Puncher / Attacking Baseliner,challenger,,23,25,52,46,59,50,29,,,101,57.4,54,59,50
Challenger,,Felix Gill,Counter Puncher / Solid Defender,challenger,,15,24,56,58,69,66,27,,,61,57.4,61,60,29
Challenger,,Pedro Cachin,Clay Specialist / Counter Puncher,challenger,,19,30,58,74,80,77,33,,,211,57.3,59,38,
Challenger,,Illya Marchenko,Big Server / Attacking Baseliner,challenger,,74,26,71,67,20,34,26,,,229,57.2,40,60,20
Challenger,,Felipe Meligeni Alves,Clay Specialist / Solid Defender,challenger,,20,23,52,68,57,70,28,,,222,57.2,60,31,0
Challenger,,Paul Jubb,Attacking Baseliner / Solid Baseliner,challenger,,32,36,78,77,57,54,38,,,105,57.1,60,57,53
Challenger,,Albano Olivetti,Big Server,challenger,,91,28,73,66,0,3,8,,,35,57.1,33,59,
Challenger,,Edoardo Eremin,Counter Puncher / Attacking Baseliner,challenger,,25,74,79,65,83,61,45,,,21,57.1,57,,
Challenger,,Feliciano Lopez,Big Server,challenger,,92,29,76,77,3,7,12,,,21,57.1,0,65,50
Challenger,,Jerzy Janowicz,Big Server,challenger,,96,28,64,82,4,18,15,,,21,57.1,40,63,
Challenger,,Matteo Gigante,Counter Puncher,challenger,,16,26,57,52,84,67,27,,,160,56.9,57,57,
Challenger,,Carlos Berlocq,Clay Specialist / Counter Puncher,challenger,,10,22,57,67,89,89,25,,,51,56.9,58,0,
Challenger,,Enzo Couacaud,All-Court Player,challenger,,59,76,67,65,67,48,55,,,264,56.8,53,60,0
Challenger,,Nicolas Kicker,Counter Puncher / Solid Defender,challenger,,8,19,56,64,89,85,23,,,118,56.8,56,59,
Challenger,,Hugo Nys,Big Server,challenger,,70,28,37,45,12,35,20,,,37,56.8,67,52,
Challenger,,Daniel Cox,All-Court Player,challenger,,25,23,42,40,17,42,21,,,37,56.8,,52,64
Challenger,,Emilio Gomez,Counter Puncher / Attacking Baseliner,challenger,,25,20,60,59,62,53,29,,,245,56.7,47,61,0
Challenger,,Bernabe Zapata Miralles,Counter Puncher / Solid Defender,challenger,,9,18,43,58,89,87,20,,,240,56.7,60,48,
Challenger,,Duje Ajdukovic,Counter Puncher,challenger,,18,26,50,56,84,69,28,,,210,56.7,58,58,0
Challenger,,Oscar Otte,Big Server,challenger,,85,41,64,68,18,32,28,,,194,56.7,58,55,57
Challenger,,Tak Khunn Wang,Counter Puncher / Attacking Baseliner,challenger,,16,26,66,66,70,65,30,,,90,56.7,50,59,
Challenger,,Kyrian Jacquet,Counter Puncher / Solid Defender,challenger,,17,26,52,57,70,64,28,,,143,56.6,60,52,
Challenger,,Max Hans Rehberg,All-Court Player,challenger,,23,25,58,60,51,56,30,,,99,56.6,56,54,
Challenger,,Joao Sousa,Solid Baseliner,challenger,,28,22,72,84,23,57,23,,,76,56.6,43,62,
Challenger,,Cedrik Marcel Stebe,Counter Puncher,challenger,,16,19,62,66,87,70,27,,,92,56.5,46,64,
Challenger,,Jakub Nicod,Counter Puncher / Solid Defender,challenger,,17,28,59,63,92,82,30,,,23,56.5,59,0,
Challenger,,Alexis Galarneau,Counter Puncher / Attacking Baseliner,challenger,,18,28,66,63,71,61,31,,,236,56.4,51,58,
Challenger,,Juan Bautista Torres,Counter Puncher / Solid Defender,challenger,,6,18,46,58,99,91,19,,,165,56.4,57,40,
Challenger,,Stefan Kozlov,Counter Puncher,challenger,,13,22,49,46,86,69,22,,,197,56.3,56,58,20
Challenger,,Liam Caruana,Big Server,challenger,,68,20,50,52,9,29,18,,,48,56.3,44,59,
Challenger,,Dimitar Kuzmanov,Counter Puncher / Solid Defender,challenger,,14,26,67,75,86,80,30,,,233,56.2,56,56,
Challenger,,Alexander Ritschard,Counter Puncher / Solid Defender,challenger,,21,31,56,62,72,64,32,,,246,56.1,63,51,0
Challenger,,Alibek Kachmazov,Big Server / Attacking Baseliner,challenger,,62,21,59,52,21,38,25,,,145,55.9,45,57,
Challenger,,Tennys Sandgren,Big Server,challenger,,88,40,68,77,8,25,22,,,127,55.9,54,56,
Challenger,,Juan Carlos Prado Angelo,Counter Puncher,challenger,,4,15,42,44,98,84,14,,,59,55.9,56,60,
Challenger,,Matthew Ebden,Big Server,challenger,,85,41,74,74,17,33,29,,,34,55.9,,42,73
Challenger,,Andre Ilagan,Counter Puncher / Solid Defender,challenger,,16,25,61,62,70,67,29,,,34,55.9,,56,
Challenger,,Jason Jung,Solid Baseliner / Attacking Baseliner,challenger,,19,20,65,70,64,57,28,,,226,55.8,21,59,45
Challenger,,Hynek Barton,Solid Baseliner / Big Server,challenger,,69,35,65,77,22,50,34,,,52,55.8,58,50,
Challenger,,Martin Klizan,Counter Puncher,challenger,,20,23,55,45,70,59,27,,,97,55.7,56,55,
Challenger,,Thai Son Kwiatkowski,Big Server,challenger,,77,25,61,59,20,33,25,,,187,55.6,45,58,
Challenger,,Yuta Shimizu,Counter Puncher,challenger,,17,18,55,61,75,63,26,,,160,55.6,0,56,
Challenger,,Clement Chidekh,Counter Puncher / Solid Defender,challenger,,15,24,59,55,72,65,27,,,54,55.6,57,57,33
Challenger,,Stuart Parker,Solid Baseliner / Big Server,challenger,,83,39,74,87,18,43,32,,,45,55.6,,62,17
Challenger,,Leonardo Mayer,All-Court Player,challenger,,79,84,78,74,60,45,57,,,27,55.6,58,,0
Challenger,,Facundo Mena,All-Court Player,challenger,,30,63,65,62,61,55,44,,,238,55.5,56,51,
Challenger,,Damien Wenger,Counter Puncher,challenger,,8,20,50,50,95,78,20,,,56,55.4,55,,
Challenger,,Vitaliy Sachko,Counter Puncher,challenger,,16,25,51,61,85,74,27,,,221,55.2,55,56,
Challenger,,Alfredo Perez,Solid Baseliner / Attacking Baseliner,challenger,,65,66,67,72,22,49,40,,,58,55.2,,55,
Challenger,,David Guez,Counter Puncher,challenger,,12,15,46,42,92,68,18,,,29,55.2,0,57,
Challenger,,Mika Brunold,Counter Puncher / Solid Defender,challenger,,14,23,53,45,63,55,24,,,29,55.2,50,59,
Challenger,,Mathias Bourgue,Big Server / Solid Baseliner,challenger,,81,38,68,79,17,38,30,,,301,55.1,50,59,
Challenger,,Jiri Vesely,Big Server,challenger,,95,29,69,74,8,15,16,,,167,55.1,48,63,43
Challenger,,Prajnesh Gunneswaran,Big Server / Solid Baseliner,challenger,,76,36,71,74,15,37,28,,,158,55.1,52,56,33
Challenger,,Andres Andrade,Counter Puncher,challenger,,9,19,43,38,91,77,17,,,49,55.1,61,44,
Challenger,,Yunseong Chung,Solid Baseliner / Attacking Baseliner,challenger,,28,32,69,73,59,60,36,,,189,55,59,55,33
Challenger,,Tim Van Rijthoven,Big Server / Solid Baseliner,challenger,,96,29,75,86,2,16,14,,,129,55,40,59,0
Challenger,,Gianluigi Quinzi,Counter Puncher / Solid Baseliner,challenger,,19,31,74,78,84,78,35,,,80,55,56,50,
Challenger,,Simone Bolelli,Solid Baseliner,challenger,,27,31,68,95,15,61,22,,,40,55,61,42,
Challenger,,Tim Puetz,Big Server / Solid Baseliner,challenger,,88,28,76,78,8,19,18,,,20,55,40,60,
Challenger,,Rei Sakamoto,Big Server,challenger,,71,19,47,49,3,20,12,,,20,55,0,58,
Challenger,,Blaz Rola,Solid Baseliner / Big Server,challenger,,74,72,68,77,21,46,40,,,193,54.9,53,57,
Challenger,,Cezar Cretu,Clay Specialist / Counter Puncher,challenger,,10,18,40,44,79,77,18,,,51,54.9,57,0,
Challenger,,Antoine Escoffier,All-Court Player,challenger,,54,49,62,60,67,48,50,,,263,54.8,44,56,50
Challenger,,Kris Van Wyk,Counter Puncher,challenger,,24,28,45,33,70,49,26,,,31,54.8,,55,
Challenger,,Cem Ilkel,Big Server / Solid Baseliner,challenger,,70,23,63,66,15,36,24,,,265,54.7,43,57,33
Challenger,,Maks Kasnikowski,Solid Baseliner / Attacking Baseliner,challenger,,28,30,58,64,24,54,27,,,117,54.7,51,59,
Challenger,,Roberto Marcora,Solid Baseliner / Attacking Baseliner,challenger,,31,30,60,68,16,47,24,,,194,54.6,56,53,
Challenger,,Mikael Torpegaard,All-Court Player,challenger,,69,51,71,66,58,43,50,,,141,54.6,41,58,0
Challenger,,Gustavo Heide,Attacking Baseliner / Solid Baseliner,challenger,,32,24,71,65,20,38,22,,,110,54.5,53,65,
Challenger,,Luka Mikrut,Clay Specialist / Counter Puncher,challenger,,17,24,41,46,75,70,24,,,33,54.5,57,33,
Challenger,,Youssef Hossam,Solid Baseliner / Attacking Baseliner,challenger,,36,33,71,77,9,35,20,,,22,54.5,,55,
Challenger,,Dominic Thiem,Solid Baseliner / Counter Puncher,challenger,,21,21,64,73,68,61,30,,,22,54.5,47,71,
Challenger,,Timofey Skatov,Clay Specialist / Solid Defender,challenger,,6,15,43,51,86,90,17,,,180,54.4,57,21,
Challenger,,Calvin Hemery,Big Server,challenger,,82,37,60,65,14,33,26,,,223,54.3,59,48,
Challenger,,Yuichi Sugita,Solid Baseliner / Attacking Baseliner,challenger,,27,17,52,61,16,43,19,,,92,54.3,0,58,38
Challenger,,Mario Vilella Martinez,Clay Specialist / All-Court Player,challenger,,28,58,53,51,60,52,40,,,142,54.2,59,35,0
Challenger,,Ryan Seggerman,Big Server,challenger,,93,36,55,54,1,17,13,,,59,54.2,60,53,0
Challenger,,Petros Chrysochos,Counter Puncher / Solid Defender,challenger,,7,13,44,38,74,72,15,,,24,54.2,50,56,
Challenger,,Patrick Zahraj,Counter Puncher,challenger,,14,14,34,22,93,60,11,,,24,54.2,0,62,
Challenger,,Tung Lin Wu,Solid Baseliner / Attacking Baseliner,challenger,,33,32,66,76,19,47,26,,,279,54.1,55,54,
Challenger,,Yan Bai,Counter Puncher / Solid Defender,challenger,,16,24,53,62,74,71,28,,,98,54.1,55,54,
Challenger,,Darian King,Counter Puncher / Solid Defender,challenger,,9,11,50,49,72,69,18,,,113,54,20,55,67
Challenger,,Samuel Vincent Ruggeri,Counter Puncher,challenger,,26,32,54,47,71,49,32,,,113,54,54,54,
Challenger,,Dmitry Popko,Counter Puncher,challenger,,17,26,49,53,80,68,27,,,271,53.9,56,49,
Challenger,,Altug Celikbilek,Big Server,challenger,,69,22,53,52,22,37,25,,,197,53.8,44,55,0
Challenger,,Filip Horansky,Counter Puncher / Solid Defender,challenger,,12,19,36,43,86,76,18,,,195,53.8,58,48,0
Challenger,,Egor Gerasimov,Big Server,challenger,,86,26,59,67,9,22,17,,,143,53.8,31,57,0
Challenger,,Murkel Alejandro Dellien Velasco,Clay Specialist / Counter Puncher,challenger,,9,18,38,45,92,84,17,,,132,53.8,54,0,
Challenger,,Ernests Gulbis,Big Server,challenger,,75,32,48,41,15,28,21,,,104,53.8,54,53,
Challenger,,Adrian Andreev,Solid Defender / Counter Puncher,challenger,,14,22,47,61,71,74,25,,,205,53.7,57,49,
Challenger,,Facundo Arguello,Counter Puncher,challenger,,11,22,60,62,89,77,25,,,82,53.7,53,60,
Challenger,,Marvin Moeller,Counter Puncher,challenger,,11,20,45,43,88,71,20,,,82,53.7,51,58,
Challenger,,Peter Gojowczyk,Big Server,challenger,,79,33,49,45,10,21,17,,,82,53.7,50,55,0
Challenger,,Alexey Zakharov,Solid Baseliner,challenger,,33,34,63,74,19,51,27,,,67,53.7,67,48,
Challenger,,Federico Gaio,Attacking Baseliner / Solid Baseliner,challenger,,34,33,58,57,17,39,25,,,334,53.6,58,47,25
Challenger,,Mats Moraing,Big Server,challenger,,88,39,60,63,12,21,21,,,222,53.6,51,58,17
Challenger,,Andrew Harris,Attacking Baseliner / Solid Baseliner,challenger,,23,17,60,57,19,46,19,,,110,53.6,45,56,0
Challenger,,Liam Draxl,Counter Puncher / Solid Baseliner,challenger,,21,29,59,64,70,59,32,,,84,53.6,50,55,
Challenger,,Marius Copil,Big Server,challenger,,89,27,71,70,4,15,14,,,155,53.5,38,58,67
Challenger,,Sergio Gutierrez Ferrol,Clay Specialist / Counter Puncher,challenger,,12,20,35,40,90,78,17,,,43,53.5,58,29,
Challenger,,Alejo Lorenzo Lingua Lavallen,Counter Puncher,challenger,,7,16,47,48,93,82,18,,,43,53.5,53,,
Challenger,,Giovanni Fonio,Attacking Baseliner / Solid Baseliner,challenger,,30,32,72,71,22,47,26,,,206,53.4,51,60,
Challenger,,Daniel Masur,Big Server,challenger,,74,34,57,61,19,38,29,,,276,53.3,52,54,75
Challenger,,Luca Vanni,Big Server,challenger,,89,38,62,70,7,23,20,,,107,53.3,50,55,
Challenger,,Gauthier Onclin,Counter Puncher / Solid Defender,challenger,,8,17,44,44,80,75,18,,,92,53.3,54,54,0
Challenger,,Joel Schwaerzler,All-Court Player,challenger,,23,24,54,49,55,54,29,,,30,53.3,54,50,
Challenger,,Gian Marco Moroni,Counter Puncher,challenger,,12,22,45,52,93,79,22,,,216,53.2,56,41,
Challenger,,Stefano Napolitano,Solid Baseliner / Attacking Baseliner,challenger,,32,67,68,75,56,55,45,,,194,53.1,53,54,50
Challenger,,Oleksii Krutykh,Counter Puncher / Solid Defender,challenger,,18,28,63,65,72,68,31,,,160,53.1,54,51,50
Challenger,,James Mccabe,Big Server,challenger,,75,22,49,52,13,26,18,,,113,53.1,23,59,20
Challenger,,Raymond Sarmiento,Solid Baseliner,challenger,,38,35,70,81,10,38,22,,,32,53.1,,53,
Challenger,,Evgeny Donskoy,Solid Baseliner / Attacking Baseliner,challenger,,36,24,71,76,10,32,17,,,202,53,36,55,58
Challenger,,Zhe Li,Solid Baseliner / Attacking Baseliner,challenger,,29,21,67,76,13,40,18,,,134,53,25,54,
Challenger,,Gerald Melzer,Attacking Baseliner / Solid Baseliner,challenger,,26,21,66,66,62,54,31,,,119,52.9,53,67,
Challenger,,Gonzalo Escobar,Attacking Baseliner / Solid Baseliner,challenger,,20,18,65,62,59,57,27,,,87,52.9,48,58,
Challenger,,Luciano Emanuel Ambrogi,Clay Specialist / Solid Defender,challenger,,9,16,34,51,82,85,17,,,51,52.9,55,25,
Challenger,,Eliakim Coulibaly,Big Server,challenger,,66,25,29,30,13,32,16,,,34,52.9,75,50,
Challenger,,Patrick Brady,Counter Puncher,challenger,,11,17,37,34,82,68,16,,,34,52.9,,55,0
Challenger,,Salvatore Caruso,Counter Puncher / Solid Defender,challenger,,10,19,52,53,80,75,22,,,218,52.8,51,56,33
Challenger,,Santiago Fa Rodriguez Taverna,Solid Defender / Solid Baseliner,challenger,,22,23,43,50,21,55,22,,,197,52.8,54,45,
Challenger,,Go Soeda,Solid Baseliner / Attacking Baseliner,challenger,,29,20,64,68,16,42,20,,,144,52.8,25,52,71
Challenger,,Keegan Smith,Big Server,challenger,,86,26,62,67,8,18,16,,,123,52.8,38,54,
Challenger,,Alejandro Moro Canas,Counter Puncher / Solid Defender,challenger,,13,21,51,61,78,73,25,,,123,52.8,49,57,50
Challenger,,Alex Rybakov,Solid Baseliner,challenger,,32,32,60,77,17,50,25,,,150,52.7,59,47,
Challenger,,Edas Butvilas,Solid Baseliner / Attacking Baseliner,challenger,,38,35,64,73,12,38,23,,,55,52.7,56,51,
Challenger,,Marc Polmans,Counter Puncher / Attacking Baseliner,challenger,,25,18,53,53,61,50,27,,,249,52.6,45,58,23
Challenger,,Matthias Bachinger,Big Server,challenger,,74,23,53,60,16,33,22,,,133,52.6,38,57,67
Challenger,,Gabriel Debru,Solid Defender / Counter Puncher,challenger,,23,22,37,42,59,60,25,,,97,52.6,60,41,
Challenger,,Hazem Naw,Counter Puncher,challenger,,13,14,42,43,74,59,19,,,57,52.6,29,64,
Challenger,,Peter Torebko,Counter Puncher,challenger,,21,27,45,34,86,56,23,,,38,52.6,52,60,
Challenger,,Aidan Mayo,Attacking Baseliner / Solid Baseliner,challenger,,29,29,57,50,20,39,24,,,118,52.5,44,54,
Challenger,,Enrique Lopez Perez,Big Server,challenger,,84,26,63,60,12,20,18,,,101,52.5,46,57,
Challenger,,Johan Nikles,Counter Puncher / Solid Defender,challenger,,4,12,28,33,98,92,7,,,80,52.5,55,36,
Challenger,,Gastao Elias,Counter Puncher / Solid Defender,challenger,,15,24,53,54,77,70,26,,,248,52.4,51,56,
Challenger,,Henri Squire,Big Server,challenger,,83,33,46,44,10,18,15,,,164,52.4,49,57,67
Challenger,,Kilian Feldbausch,Counter Puncher,challenger,,6,14,34,40,99,84,12,,,42,52.4,53,50,
Challenger,,Taisei Ichikawa,Attacking Baseliner / Solid Baseliner,challenger,,20,21,53,52,13,47,18,,,21,52.4,,52,
Challenger,,Svyatoslav Gulin,All-Court Player,challenger,,17,22,56,55,59,58,27,,,21,52.4,53,50,
Challenger,,Alexandar Lazarov,Counter Puncher,challenger,,17,27,58,58,91,69,28,,,65,52.3,50,57,
Challenger,,Alessandro Giannessi,Clay Specialist / Solid Defender,challenger,,10,16,40,42,73,76,18,,,274,52.2,54,14,
Challenger,,Ryan Peniston,Counter Puncher / Solid Defender,challenger,,14,24,59,55,77,70,27,,,186,52.2,56,52,48
Challenger,,Ji Sung Nam,Counter Puncher,challenger,,20,20,53,54,81,60,26,,,134,52.2,36,54,
Challenger,,Paolo Lorenzi,Clay Specialist / Solid Defender,challenger,,20,23,45,51,61,68,27,,,113,52.2,57,25,
Challenger,,Matias Soto,All-Court Player,challenger,,29,58,55,54,53,49,40,,,69,52.2,53,50,
Challenger,,Matej Dodig,Solid Defender,challenger,,22,19,28,31,17,45,18,,,46,52.2,54,43,
Challenger,,Nerman Fatic,Counter Puncher / Solid Defender,challenger,,17,23,41,50,75,67,24,,,175,52,54,43,
Challenger,,Artem Dubrivnyy,Attacking Baseliner / Solid Baseliner,challenger,,25,24,52,49,10,36,18,,,50,52,47,54,
Challenger,,Jeroen Vanneste,Counter Puncher / Solid Defender,challenger,,12,19,41,29,66,58,18,,,25,52,52,50,
Challenger,,Jordi Samper Montana,Counter Puncher / Solid Defender,challenger,,9,18,39,59,96,93,19,,,25,52,60,20,
Challenger,,Tristan Lamasine,Solid Baseliner / Attacking Baseliner,challenger,,23,18,56,61,55,55,27,,,310,51.9,46,57,
Challenger,,Jonas Forejtek,Solid Baseliner,challenger,,33,33,65,79,21,51,27,,,183,51.9,49,57,
Challenger,,Marc Sieber,Counter Puncher,challenger,,14,24,44,53,92,80,23,,,27,51.9,61,33,
Challenger,,Patrick Maloney,Big Server / Solid Baseliner,challenger,,83,37,64,73,14,33,26,,,27,51.9,,52,
Challenger,,Andrea Collarini,Clay Specialist / Counter Puncher,challenger,,11,20,47,54,83,81,22,,,321,51.7,53,23,
Challenger,,Lukas Rosol,Attacking Baseliner / Solid Baseliner,challenger,,33,28,50,50,10,31,20,,,203,51.7,50,52,60
Challenger,,Andreas Haider Maurer,Counter Puncher,challenger,,26,31,48,40,81,55,29,,,29,51.7,52,,
Challenger,,Antoine Ghibaudo,Solid Baseliner / Attacking Baseliner,challenger,,30,19,56,57,20,38,21,,,29,51.7,0,56,
Challenger,,Frederico Ferreira Silva,Counter Puncher / Solid Baseliner,challenger,,16,26,61,68,69,68,30,,,250,51.6,49,54,
Challenger,,Kacper Zuk,Big Server / Solid Baseliner,challenger,,77,36,64,76,9,36,25,,,153,51.6,54,46,50
Challenger,,Guilherme Clezar,Solid Baseliner,challenger,,25,24,52,63,14,51,20,,,128,51.6,54,42,
Challenger,,Brandon Holt,All-Court Player,challenger,,23,61,60,73,67,64,42,,,122,51.6,,52,
Challenger,,Toby Alex Kodat,Counter Puncher / Solid Defender,challenger,,15,21,38,46,78,72,21,,,64,51.6,56,42,
Challenger,,Gilbert Soares Klier Junior,Counter Puncher,challenger,,17,20,69,73,84,67,29,,,62,51.6,44,68,
Challenger,,Ivan Gakhov,All-Court Player,challenger,,30,28,45,50,20,47,25,,,227,51.5,54,38,
Challenger,,Genaro Alberto Olivieri,Counter Puncher / Solid Defender,challenger,,8,16,42,48,83,80,18,,,200,51.5,51,57,
Challenger,,Thomas Fabbiano,Solid Defender / Counter Puncher,challenger,,11,20,56,53,65,66,24,,,97,51.5,48,55,40
Challenger,,Johan Sebastien Tatlot,Counter Puncher,challenger,,10,17,37,28,83,66,14,,,66,51.5,50,55,
Challenger,,Matheus Pucinelli De Almeida,Clay Specialist / Solid Defender,challenger,,11,21,49,62,79,83,24,,,181,51.4,53,29,0
Challenger,,Tatsuma Ito,Solid Baseliner / Attacking Baseliner,challenger,,29,20,55,57,19,39,21,,,150,51.3,14,53,50
Challenger,,Remy Bertola,All-Court Player,challenger,,23,25,57,45,55,48,29,,,115,51.3,49,54,
Challenger,,Ernesto Escobedo,Big Server / Solid Baseliner,challenger,,81,26,71,73,8,22,18,,,203,51.2,30,54,50
Challenger,,Sergiy Stakhovsky,Big Server,challenger,,83,34,50,56,6,21,17,,,125,51.2,41,51,73
Challenger,,Guy Den Ouden,Counter Puncher / Solid Defender,challenger,,13,23,50,54,81,74,25,,,43,51.2,60,39,
Challenger,,Denis Yevseyev,Counter Puncher,challenger,,9,17,43,45,87,76,18,,,282,51.1,47,54,
Challenger,,Mirza Basic,Solid Baseliner / Attacking Baseliner,challenger,,32,31,66,72,13,44,22,,,180,51.1,53,50,50
Challenger,,Lucas Gerch,Counter Puncher,challenger,,20,27,51,44,68,56,28,,,135,51.1,53,48,
Challenger,,Alexander Sarkissian,Big Server / Attacking Baseliner,challenger,,65,20,56,56,11,27,19,,,94,51.1,0,52,
Challenger,,Philip Sekulic,Solid Baseliner / Attacking Baseliner,challenger,,32,19,50,52,11,27,17,,,92,51.1,0,53,
Challenger,,Tommy Robredo,Clay Specialist / Solid Defender,challenger,,10,17,44,47,73,76,19,,,88,51.1,55,27,
Challenger,,Juan Ignacio Galarza,Clay Specialist / Solid Defender,challenger,,16,20,44,46,65,70,23,,,45,51.1,52,0,
Challenger,,Manuel Guinard,All-Court Player,challenger,,28,56,46,50,58,52,38,,,257,51,54,46,
Challenger,,Jelle Sels,Solid Baseliner / Attacking Baseliner,challenger,,29,27,52,55,16,42,23,,,255,51,50,52,
Challenger,,Antoine Hoang,Solid Baseliner / Attacking Baseliner,challenger,,29,28,56,58,13,37,21,,,198,51,47,53,50
Challenger,,Joao Menezes,All-Court Player,challenger,,20,24,60,64,64,63,30,,,147,51,48,56,
Challenger,,Gabi Adrian Boitan,Clay Specialist / Solid Defender,challenger,,24,24,41,42,21,51,22,,,51,51,61,33,
Challenger,,Garrett Johns,Solid Defender / Solid Baseliner,challenger,,23,17,48,51,23,53,21,,,49,51,44,55,
